Day;Temperature;Ad_male
0;23.86;
1;24.88;
2;25.55;
3;26.55;
4;27.3;
5;26.65;
6;25.72;
7;24.97;
8;25.23;
9;27.01;
10;27.88;
11;26.56;
12;24.99;
13;24.38;
14;25;
15;25.45;
16;25.39;
17;26.18;
18;27.58;
19;28.24;
20;26.85;
21;26.14;
22;26.04;
23;25.99;
24;25.89;
25;25.04;
26;21.82;
27;21.93;
28;21.46;
29;20.02;
30;24.27;
31;25.53;
32;26.25;
33;27.58;
34;28.32;0
35;27.53;
36;27.06;
37;26.96;
38;27.94;
39;28.18;
40;28.38;
41;28.65;0
42;28.63;
43;28.43;
44;26.97;
45;23.9;
46;24.1;
47;26.43;
48;24.42;0
49;24.81;
50;26.9;
51;28;
52;26.82;
53;27.83;
54;30.18;
55;31.19;0
56;30.14;
57;30.57;
58;30.43;
59;28.02;
60;26.9;
61;25.72;
62;25.62;1
63;24.39;
64;26.32;
65;26.97;
66;25.05;
67;23.59;
68;24.17;
69;24.18;
70;23.6;
71;21.7;
72;21.57;0
73;22.17;
74;22.72;
75;23.79;
76;24.7;
77;23.93;
78;23.72;
79;23.63;
80;23.61;
81;23.67;6
82;21.5;
83;21.79;
84;22.19;
85;23.22;
86;23.4;
87;23.59;
88;22.97;
89;23.4;8.5
90;24.16;
91;22.51;
92;23.01;
93;21.86;
94;21.11;
95;21.44;
96;21.35;
97;20.75;
98;20.59;
99;21.9;
100;22.47;
101;22.73;
102;22.75;
103;22.16;
104;22.17;
105;21.59;
106;19.8;
107;20.33;
108;21.94;
109;17.69;
110;15.93;
111;13.94;
112;16.16;
113;16.63;
114;13.55;
115;11.68;
116;13.97;
117;14.86;
118;12.98;
119;12.61;
120;13.52;
121;14.75;
122;14.58;
123;14.82;
124;15.14;
125;16.13;
126;17.9;
127;17.05;
128;18.43;
129;15.97;
130;14.34;
131;15.05;
132;13.99;
133;13.11;
134;14.33;
135;14.95;
136;16.12;
137;15.04;
138;14.98;
139;12.85;
140;12.9;
141;14.67;
142;19.01;
143;14.71;
144;15.14;
145;18.21;
146;15.75;
147;13.97;
148;13.76;
149;12.83;
150;15.75;
151;11.9;
152;12.48;
153;13.3;
154;12.63;
155;12.26;
156;11.64;
157;12.85;
158;13.55;
159;13.69;
160;11.93;
161;9.94;
162;10.99;
163;9.1;
164;5.24;
165;4.63;
166;9.47;
167;10.33;
168;8.98;
169;7.6;
170;9.3;
171;6.29;
172;4.65;
173;8.63;
174;6.77;
175;5.36;
176;6.08;
177;6.9;
178;7.05;
179;10.08;
180;8.82;
181;9.24;
182;9.69;
183;10.25;
184;7.68;
185;7.65;
186;11.94;
187;9.75;
188;12.56;
189;9.29;
190;8.51;
191;9.88;
192;10;
193;11.96;
194;10.36;
195;9.27;
196;11.04;
197;10.02;
198;9.55;
199;6.54;
200;6.34;
201;11.35;
202;14.41;
203;8.47;
204;9.21;
205;9.76;
206;8.51;
207;10.67;
208;10;
209;10.46;
210;7.54;
211;6.39;
212;6.92;
